gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 2132885157240180864","Kepler-50","Kepler-50 c",288.1009312,50.0336844
"Gaia DR2 2126454633427425664","Kepler-561","Kepler-561 c",293.7471107,45.1071981
"Gaia DR2 2078635910668511872","Kepler-315","Kepler-315 c",298.0230967,43.3634761
"Gaia DR2 1505890751741673856","TOI-1798","TOI-1798.02",211.0939367,46.5192825
"Gaia DR2 2076598687419100800","Kepler-1125","Kepler-1125 b",295.4812018,40.7319316
"Gaia DR2 3205095125321700480","51 Eri","51 Eri b",69.4007424,-2.4738245
,"Kepler-799","Kepler-799 b",287.1748966,44.8784754
"Gaia DR2 661004400386393984","K2-101","K2-101 b",130.3439097,18.9338205
"Gaia DR2 2127815657021840128","Kepler-403","Kepler-403 c",289.9214256,46.7445267
"Gaia DR2 2080193506325008256","Kepler-1523","Kepler-1523 b",296.0540705,45.8270447
"Gaia DR2 2105597825559486336","Kepler-978","Kepler-978 b",286.7107166,43.0433585
"Gaia DR2 2080650559563974144","Kepler-528","Kepler-528 b",295.6848595,47.7480914
"Gaia DR2 2130951464184187392","Kepler-809","Kepler-809 b",289.0836324,48.0180689
,"KMT-2023-BLG-1642L","KMT-2023-BLG-1642L b",261.3660000,-29.0584694
"Gaia DR2 1962153854973972096","HAT-P-40","HAT-P-40 b",335.5129199,45.4573423
"Gaia DR2 2143746515354698496","Kepler-380","Kepler-380 c",282.3947017,48.7591334
"Gaia DR2 2106046632461881856","Kepler-778","Kepler-778 b",287.4774867,44.2374702
"Gaia DR2 2126984220073270784","Kepler-498","Kepler-498 b",290.3581592,44.5187225
"Gaia DR2 3383298227579280640","HAT-P-54","HAT-P-54 b",99.8979924,25.4824005
"Gaia DR2 604215144503584640","K2-415","K2-415 b",137.2015437,11.8622503
"Gaia DR2 2538824923230146560","K2-212","K2-212 b",18.4241015,3.0970732
"Gaia DR2 664292459846946560","K2-104","K2-104 b",129.6366594,19.7737202
"Gaia DR2 2100378478222060032","Kepler-1728","Kepler-1728 b",287.0940046,39.0607801
