source_id,ra,dec,nss_solution_type,label_crossmatch,period,eccentricity,inclination,parallax_over_error,ruwe,astrometric_chi2_al,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,arg_periastron_sin,arg_periastron_cos
1889477304605336832,343.3822364756153,31.241742959018765,SB2,0,1.3244647288997724,0.0302731551405634,0.0,63.03661,1.0871781,1612.6754,0.1531958,20.0,10.943331,-0.28699629600560256,0.957931691760464
5742161680348722944,137.483242190606,-11.609866071304646,SB1,0,3.006777361075868,0.0529316462740105,0.0,116.86934,1.073471,929.51074,0.08400704,19.0,12.236721,-0.8331928146657571,0.5529825798244943
1941632466871587072,350.694202836485,46.84455485708165,SB1,0,346.4453209034249,0.3795413511885655,0.0,41.23737,1.1885173,2211.5203,0.1236076,27.0,10.903236,-0.814567317049738,0.580069035541798
3671777819207890432,209.89018177481063,4.695497224751407,SB1,0,9.659150191399624,0.0900709151968569,0.0,26.95659,0.90575945,291.50247,0.0737406,13.0,9.734406,0.7739841120108125,0.633205017632389
6041276706218575104,239.84531093157548,-28.28965732612922,SB1,0,109.13919907574784,0.066706793371045,0.0,23.433023,1.1989352,809.16595,0.090348214,18.0,12.293646,0.224137999624155,-0.9745574160225154
2231836290297742848,344.5913431018539,73.49932971642937,SB1,0,402.6979585584618,0.2481966797501145,0.0,20.150877,1.1448652,910.27716,0.11490678,26.0,12.10797,0.5587316870814901,-0.8293484803453081
5831980411621663488,244.7636252225124,-58.73822790301815,SB1,0,364.2686534048056,0.0927895109092318,0.0,44.732735,1.1903673,2055.2576,0.17313787,22.0,11.480155,0.9936308463821474,-0.11268425408147076
675897938219631360,122.61008740914984,20.6090203676012,SB1,0,820.2147422233862,0.1709951256024606,0.0,34.414482,1.3448732,920.7007,0.14611907,18.0,10.584297,0.952277821612737,-0.30523261697351445
681849839475390464,121.20925530520942,25.606368361281277,SB1,0,35.45549037354963,0.3463856421007412,0.0,121.37708,1.393897,2564.9868,0.22899805,19.0,11.273322,0.7604643090073282,-0.6493797307631389
5298644979211541248,140.74376220714072,-62.39554130793057,SB1,0,41.482134037844965,0.38588385431729,0.0,128.46349,0.9070603,499.97345,0.06746055,23.0,11.981146,-0.5365753362369311,-0.8438524210679402
3083103863544647296,120.3827823643304,-1.053758219194677,SB1,0,3.899382990094692,0.0823859495136202,0.0,88.38597,1.0386506,1161.3735,0.121027306,20.0,11.695657,-0.6490329619052387,0.7607602870553332
3084057449363335680,119.79866063242196,-0.0931531230030557,SB1,0,3.300410196091205,0.2923155837553131,0.0,41.149628,1.0406371,551.5871,0.059069462,20.0,12.468774,0.15403049002606167,0.988066095027216
1827998111984418432,297.9028646249864,22.82890047675139,SB1,0,255.83153851069463,0.3721736581136362,0.0,33.892197,1.2283026,1001.23737,0.062616214,22.0,13.331672,0.562674688414921,0.8266784108812637
3466489961691952896,180.5916831496474,-32.503799497086696,SB1,0,2.4023333460463827,0.0125296022261429,0.0,258.70395,0.95317405,855.2068,0.07482796,20.0,9.547749,-0.1368986991866958,0.990585052461923
475099184820306176,59.53296992285583,62.84235086764811,EclipsingBinary,0,1.2156982421875,0.0,80.84509697874904,12.901334,1.0568943,441.28915,0.05973244,20.0,15.220101,0.0,1.0
2296649683256308096,270.8709997412178,82.79852714604255,SB1,0,784.342918694826,0.0133055052673676,0.0,40.3529,1.003973,723.5526,0.10182877,25.0,11.698663,0.0030890591107308285,-0.9999952288455233
4244300425804408576,304.3043130543477,3.4975676682215133,SB1,0,482.5444308411398,0.0093109042653675,0.0,21.360834,1.1282763,602.457,0.07090998,19.0,12.125756,-0.6054314195409796,-0.795897478468549
2299674474105053568,341.5968155357481,83.0847615398592,SB1,0,2.199179918457854,0.1086217002154329,0.0,111.694214,0.94936526,551.8684,0.07544559,23.0,11.906711,0.5018212492964474,0.8649713485165579
2300028727302912256,339.549062774253,84.31379061365698,SB1,0,25.427159464440013,0.1869162417643308,0.0,326.59818,1.1432009,875.41156,0.119033985,24.0,9.452951,0.390203778707274,0.9207285219230285
4245063521233820800,305.89448078661377,4.1094778798776,SB1,0,594.9079431570384,0.0586832775422156,0.0,20.986158,1.2462704,1295.9948,0.11878554,19.0,12.058417,-0.07962071807264416,-0.9968252310478485
238313166725998336,54.99322645099041,43.27714430758992,SB1,0,3.3271948696522755,0.0626596832108912,0.0,73.96678,0.89789563,468.6329,0.044938684,18.0,12.358608,0.5868675295473461,0.8096829643527118
